MitoCarta3.0_MitoPathways	UniProt
OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits	P08574
OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits	P21912
Metabolism > Metals and cofactors > Coenzyme Q metabolism	Q99807
OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | OXPHOS > OXPHOS subunits	P31040
"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits"	P31930
Metabolism > Metals and cofactors > Coenzyme Q metabolism	Q5HYK3
Metabolism > Carbohydrate metabolism > Pyruvate metabolism	P08559
Metabolism > Metals and cofactors > Coenzyme Q metabolism	O75208
Mitochondrial central dogma > mtRNA metabolism > Transcription | Mitochondrial central dogma > Translation > Mitochondrial ribosome	P52815
OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	P30049
OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits	P20674
Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins	Q86U28
"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases"	O75439
OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits	P47985
OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	P25705
Metabolism > Carbohydrate metabolism > TCA cycle	Q02218
Metabolism > Carbohydrate metabolism > Pyruvate metabolism	P11177
"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits"	P22695
OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits	O14521
Mitochondrial central dogma > Translation > Mitochondrial ribosome	P82673
OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits	O14949
Mitochondrial central dogma > Translation > Mitochondrial ribosome	Q96EL3
Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex	P11182
Metabolism > Carbohydrate metabolism > Pyruvate metabolism	Q16654
Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA cycle	P40926
Mitochondrial central dogma > Translation > Mitochondrial ribosome	Q92552
Metabolism > Carbohydrate metabolism > TCA cycle	O75390
"Protein import, sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis"	Q9HAV7
Metabolism > Carbohydrate metabolism > Pyruvate metabolism	P10515
Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial central dogma > Translation	P42704
Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Lysine metabolism	P36957
Metabolism > Carbohydrate metabolism > Pyruvate metabolism	O00330
Mitochondrial central dogma > Translation > Translation factors	Q96RP9
Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport	O95563
OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits	P28331
Mitochondrial central dogma > Translation > Mitochondrial ribosome	Q9H2W6
OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	P56381
Metabolism > Metals and cofactors > Copper metabolism | Signaling > Calcium homeostasis > Calcium cycle | Small molecule transport > SLC25A family	Q00325
Mitochondrial central dogma > Translation > Mitochondrial ribosome	Q9Y3D9
Metabolism > Carbohydrate metabolism > TCA cycle	P07954
"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases"	Q10713
OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	P06576
OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors	Q5VUM1
OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits	Q9UDW1
Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins	Q9BUE6
Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing	Q9P2R7
Metabolism > Metals and cofactors > Coenzyme Q metabolism	Q9NZJ6
Mitochondrial central dogma > Translation > mt-tRNA synthetases	Q9NSE4
Mitochondrial central dogma > Translation > Mitochondrial ribosome	P82914
Metabolism > Carbohydrate metabolism > TCA cycle	P50213
OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors	Q9Y6N1
"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other"	Q16134
"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting"	P62072
Mitochondrial central dogma > Translation > Mitochondrial ribosome	Q9BQ48
Mitochondrial central dogma > Translation > Mitochondrial ribosome	Q5T653
Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex	P12694
OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits	P07919
OXPHOS > OXPHOS assembly factors | OXPHOS > Respirasome assembly	Q9BW72
OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	P48047
Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism	P30084
Small molecule transport	Q6P1Q0
OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits	P12074
OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Heme synthesis and processing | OXPHOS > OXPHOS assembly factors	Q7KZN9
"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"	Q9Y4W6
Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism	P40939
"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other"	P13804
OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits	O75251
Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Metals and cofactors > Carnitine synthesis and transport | Metabolism > Metals and cofactors > Carnitine shuttle	P23786
Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex	P21953
Metabolism > Carbohydrate metabolism > TCA cycle	O43837
Mitochondrial central dogma > Translation > mt-tRNA synthetases	Q15031
Metabolism > Lipid metabolism > Fatty acid oxidation	P16219
Signaling > Calcium homeostasis > Calcium cycle	O95202
OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits | Mitochondrial dynamics and surveillance > Cristae formation	P56385
Mitochondrial dynamics and surveillance > Fusion | Mitochondrial dynamics and surveillance > Cristae formation	O60313
Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism	Q13825
Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing	P53597
OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits	P19404
Metabolism > Metals and cofactors > Coenzyme Q metabolism	Q9Y2Z9
Mitochondrial central dogma > Translation > Mitochondrial ribosome	Q8N983
Metabolism > Carbohydrate metabolism > TCA-associated	Q8NFV4
OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	P18859
OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits	O95169
"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"	P36776
Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system	P09622
"Protein import, sorting and homeostasis > Protein import and sorting > MIA40 | OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors | Mitochondrial dynamics and surveillance > Apoptosis"	O95831
0	Q96DC8
Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex	Q6UXV4
Mitochondrial central dogma > Translation > Mitochondrial ribosome	Q7Z7H8
Mitochondrial central dogma > Translation > Translation factors	Q96E11
OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits	O00217
Metabolism > Lipid metabolism > Fatty acid oxidation	P11310
Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex	Q16891
"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting"	Q9Y5J7
Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Small molecule transport > SLC25A family	P12235
"Protein import, sorting and homeostasis > Protein import and sorting > SAM | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions"	Q9Y512
OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits	O75306
OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits	P49821
Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins	Q99798
Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay	Q8IYB8
