bait_name	UniProt
ACAD9	O95182
ACAD9	P53597
ACAD9	O00411
ACAD9	Q7L8L6
ACAD9	Q9P2R7
ACAD9	P21912
ACAD9	O60783
ACAD9	Q9NRX2
ACAD9	Q7L0Y3
ACAD9	Q9Y276
ACAD9	Q13423
ACAD9	Q9H9J2
ACAD9	P82930
ACAD9	Q9HA77
ACAD9	Q5JPH6
ACAD9	Q9BYD2
ACAD9	P82675
ACAD9	P82663
ACAD9	O14979
ACAD9	Q9BYD1
ACAD9	Q9BX68
ACAD9	Q9BYD6
ACAD9	Q12849
ACAD9	P82909
ACAD9	Q8IYQ7
ACAD9	Q9BSJ5
ACAD9	Q12931
ACAD9	O94925
ACAD9	P31040
ACAD9	Q96EL2
ACAD9	Q8TB37
ACAD9	Q8N442
ACAD9	A8MXV4
ACAD9	Q96EY8
ACAD9	Q9BQP7
ACAD9	Q9Y3D9
ACAD9	P82664
ACAD9	P82932
ACAD9	Q96EL3
ACAD9	P11166
ACAD9	Q9Y291
ACAD9	Q96DV4
ACAD9	Q7Z7F7
ACAD9	Q96RP9
ACAD9	P18859
ACAD9	Q92552
ACAD9	Q9Y2R9
ACAD9	Q92665
ACAD9	O75251
ACAD9	P11310
ACAD9	Q8TCS8
ACAD9	P13804
ACAD9	Q9HD45
ACAD9	P20674
ACAD9	Q969Y2
ACAD9	Q9BPW8
ACAD9	P30084
ACAD9	Q8NCN5
ACAD9	P03886
ACAD9	P40939
ACAD9	P49821
ACAD9	Q9NYY8
ACAD9	Q9BZE1
ACAD9	Q9H0U6
ACAD9	Q8IXM3
ACAD9	Q8N5N7
ACAD9	P24539
ACAD9	P36776
ACAD9	Q15120
ACAD9	P40926
ACAD9	Q96A35
ACAD9	Q8NBM4
ACAD9	P19404
ACAD9	Q9BVS5
ACAD9	Q9H0R6
ACAD9	Q16540
ACAD9	Q15070
ACAD9	Q7Z7H8
ACAD9	Q9BZE1
ACAD9	P26440
ACAD9	Q86V81
ACAD9	O75616
ACAD9	Q10713
ACAD9	Q9HAV7
ACAD9	Q96CS3
ACAD9	Q9BU23
ACAD9	O75521
ACAD9	Q13084
ACAD9	Q9P0J0
ACAD9	Q9BYC9
ACAD9	Q9NQ50
ACAD9	Q9H2W6
ACAD9	Q9Y3D7
ACAD9	P52815
ACAD9	Q9BSH4
ACAD9	Q9NYK5
ACAD9	Q8N983
ACAD9	P40939
ACAD9	Q8NFF5
ACAD9	Q8N183
ACAD9	Q7Z4W1
ACAD9	P27144
ACAD9	P10809
ACAD9	Q8TAE8
ACAD9	P10515
ACAD9	P06576
ACAD9	P82933
ACAD9	Q9BRJ2
ACAD9	O43615
ACAD9	Q96E29
ACAD9	Q9NP80
ACAD9	O75390
ACAD9	Q5JTZ9
ACAD9	Q96EY7
ACAD9	Q96HY7
ACAD9	P11182
ACAD9	Q5TEU4
ACAD9	P13196
ACAD9	O75027
ACAD9	P30049
ACAD9	P48047
ACAD9	P13073
ACAD9	P38117
ACAD9	O43181
ACAD9	O00217
ACAD9	Q15118
ACAD9	P35232
ACAD9	P24752
ACAD9	Q9NSE4
ACAD9	Q8WWV3
ACAD9	O75489
ACAD9	O75380
ACAD9	O75879
ACAD9	Q13405
ACAD9	Q16718
ACAD9	O14561
ACAD9	O00746
ACAD9	P36542
ACAD9	Q9Y375
