annotation_text	protein_tag
MIM	P08574
MIM	P21912
MIM	Q99807
MIM	P31040
MIM	P31930
MIM	Q5HYK3
Matrix	P08559
MIM	O75208
Matrix	P52815
MIM	P30049
MIM	P20674
Matrix	Q86U28
Matrix	O75439
MIM	P47985
MIM	P25705
Matrix	Q02218
Matrix	P11177
MIM	P22695
MIM	O14521
Matrix	P82673
MIM	O14949
Matrix	Q96EL3
Matrix	P11182
MIM	Q16654
Matrix	P40926
Matrix	Q92552
Matrix	O75390
Matrix	Q9HAV7
Matrix	P10515
Matrix	P42704
Matrix	P36957
Matrix	O00330
Matrix	Q96RP9
MIM	O95563
MIM	P28331
Matrix	Q9H2W6
MIM	P56381
MIM	Q00325
Matrix	Q9Y3D9
Matrix	P07954
Matrix	Q10713
MIM	P06576
Matrix	Q5VUM1
MIM	Q9UDW1
Matrix	Q9BUE6
Matrix	Q9P2R7
MIM	Q9NZJ6
Matrix	Q9NSE4
Matrix	P82914
Matrix	P50213
MIM	Q9Y6N1
MIM	Q16134
MIM	P62072
Matrix	Q9BQ48
Matrix	Q5T653
MIM	P12694
MIM	P07919
MIM	Q9BW72
MIM	P48047
Matrix	P30084
Membrane	Q6P1Q0
MIM	P12074
MIM	Q7KZN9
MIM	Q9Y4W6
MIM	P40939
Matrix	P13804
MIM	O75251
MIM	P23786
MIM	P21953
Matrix	O43837
Matrix	Q15031
Matrix	P16219
MIM	O95202
MIM	P56385
MIM	O60313
Matrix	Q13825
Matrix	P53597
MIM	P19404
MIM	Q9Y2Z9
Matrix	Q8N983
Matrix	Q8NFV4
MIM	P18859
MIM	O95169
Matrix	P36776
Matrix	P09622
MIM	O95831
Matrix	Q96DC8
MIM	Q6UXV4
Matrix	Q7Z7H8
Matrix	Q96E11
MIM	O00217
Matrix	P11310
MIM	Q16891
MIM	Q9Y5J7
MIM	P12235
MOM	Q9Y512
MIM	O75306
MIM	P49821
Matrix	Q99798
Matrix	Q8IYB8
MIM	P22830
Matrix	P46199
MIM	P35232
Matrix	Q6NVY1
Matrix	Q9Y399
Matrix	P38646
MIM	Q15526
Matrix	P30048
MIM	Q9H3K2
Matrix	Q8N442
MIM	Q9Y5L4
Matrix	Q9HD34
Matrix	Q9NX20
Matrix	Q9NQ50
Matrix	P51553
MIM	Q99643
MIM	O43674
Matrix	Q9NX18
MIM	Q96MF6
Matrix	P30042
Matrix	Q99757
Matrix	Q9NVS2
MIM	P09669
MIM	Q9Y6M9
MOM	Q9Y6C9
MIM	P56556
MIM	O43772
Matrix	Q9BYD6
MIM	O43615
IMS	Q14061
MIM	Q5TGZ0
Matrix	P04179
MIM	P14854
MOM	P21796
Matrix	Q16740
Matrix	Q16836
MIM	P28330
Matrix	P24752
Matrix	Q96EH3
Matrix	O76031
MIM	O43181
Matrix	Q9BYD3
Matrix	Q07021
Matrix	Q5JRX3
MIM	Q9NVA1
Matrix	Q7Z7F7
Matrix	Q6IN84
Matrix	Q9BV79
Matrix	Q9H9J2
Matrix	Q6YN16
Matrix	O60783
MIM	Q9NUT2
Matrix	Q8N5M1
MIM	Q16795
IMS	Q5JTJ3
Matrix	O00411
Matrix	Q9H1K1
Matrix	Q8WWV3
Matrix	Q9ULD0
MIM	P36542
Matrix	O14874
Matrix	Q969S9
MIM	Q9P032
MIM	Q3KQZ1
MIM	Q02978
MIM	Q9Y5J9
Matrix	Q8IVS2
Matrix	Q5T440
MIM	Q99623
Matrix	P51398
IMS	Q9NRP2
Matrix	A6NFY7
Matrix	Q9Y2R5
Matrix	Q8IWW8
Matrix	Q9Y697
MIM	Q5TEU4
Matrix	Q9NRX2
Matrix	Q9BSH4
MOM	Q8IWA4
Matrix	Q8NI37
Matrix	Q9Y3B7
MIM	P13073
MIM	O75380
Matrix	Q9BYD1
Matrix	P55809
MIM	P10606
Matrix	Q15119
Matrix	P13196
Matrix	O75394
Matrix	Q9Y2Z2
Matrix	O43766
MIM	Q16718
MIM	O95139
MOM	O75431
Matrix	Q96I99
Matrix	P10109
MIM	P53007
Matrix	Q9Y2Q9
MIM	Q3ZCQ8
MOM	P45880
MIM	Q86VD7
MOM	Q9P0U1
Matrix	Q13011
Matrix	O75879
MIM	Q9Y276
Matrix	O75616
IMS	Q7Z7K0
Matrix	Q13084
Matrix	P43897
Matrix	Q16595
Matrix	Q9UMS0
Matrix	Q9Y2Z4
Matrix	Q7Z2W9
Matrix	P30038
MOM	Q969M1
MIM	Q9Y375
MIM	O96000
Matrix	P45954
Matrix	P82933
MIM	Q8NI60
MIM	P49748
MIM	Q9Y3A0
Matrix	Q9P015
MIM	O43678
Matrix	Q96A35
Matrix	P10809
MIM	O43920
Matrix	Q9UIJ7
IMS	P99999
Matrix	Q99797
Matrix	Q5U5X0
MIM	P43155
Matrix	P05166
Matrix	Q9Y2R9
Matrix	P09001
MIM	O43272
Matrix	P05165
Matrix	Q96RQ3
Matrix	O15235
IMS	Q9H078
Matrix	Q15118
Matrix	Q13405
MIM	P14406
MIM	Q9H061
Matrix	Q86YB7
IMS	P53701
Matrix	P31937
Matrix	P49406
Matrix	Q9P0J6
MIM	Q5SVS4
MIM	Q02338
Matrix	O95363
MIM	O75027
MOM	Q13505
MIM	O95182
MIM	Q99595
Matrix	P49189
Matrix	Q9Y3D5
Matrix	Q96GW9
MIM	Q02252
Matrix	P22570
Matrix	O43716
Matrix	Q12931
Matrix	Q9UKU7
Matrix	P05091
Matrix	P30405
MIM	Q9Y584
Matrix	P26440
MIM	Q9H9P8
Matrix	O95571
Matrix	Q9BYC9
MIM	P05141
MIM	O75746
Matrix	P82921
MOM	Q9NS69
Matrix	P42765
Matrix	Q8TCC3
Matrix	Q96EY1
MIM	O95178
Matrix	P82930
Matrix	P38117
MIM	Q8WV93
Matrix	Q9UII2
MIM	P24539
MIM	P15954
MIM	Q9NX63
MIM	Q9H8M1
Matrix	Q4G176
Matrix	Q9Y2S7
MIM	Q9UBX3
MIM	Q9UJS0
Matrix	Q15120
Matrix	Q16798
Matrix	Q9NWU5
Matrix	P48735
Matrix	Q92947
Matrix	Q9HD33
Matrix	Q9H2U2
Matrix	Q9BYD2
IMS	Q8WYQ3
Matrix	Q9UGM6
MIM	Q9HC21
Matrix	Q8N4T8
MIM	Q9H4I9
Matrix	Q16775
MIM	P24310
Matrix	Q9BT17
MIM	Q96I36
MIM	Q9UI09
Matrix	Q9Y3D3
Matrix	Q49AM1
Matrix	Q6IPR1
MIM	P43304
MIM	O95299
MIM	O95298
Matrix	Q9GZT3
MIM	P00846
MIM	P00403
MIM	Q9BVV7
MIM	P51970
MIM	O94925
MIM	Q9NX14
Matrix	Q96HY7
Matrix	Q96GK7
Matrix	Q92506
Matrix	Q9BX68
Matrix	P82675
Matrix	Q5SQH8
Matrix	Q8WW59
Matrix	A6NK58
Matrix	Q16698
Matrix	Q9BYN8
MIM	Q9Y619
MIM	P56181
Matrix	Q86WA6
MIM	Q9UJZ1
Matrix	Q9Y3D2
IMS	P83111
MOM	O96008
MIM	Q6KCM7
unknown	Q3MIX3
Matrix	Q6JQN1
Matrix	A3KMH1
MIM	Q9GZT6
MOM	Q9NVH1
Matrix	Q9BT30
Matrix	P23378
MIM	P0DKB6
MIM	Q5T1C6
Matrix	Q04837
Matrix	Q9P0M9
Matrix	Q8IWL3
Matrix	P82664
Matrix	P27144
MIM	Q9NVI7
Matrix	Q9BZE1
MIM	Q9H7Z7
Matrix	Q9NNW7
Matrix	Q6NUN0
MOM	Q9NZ45
Matrix	Q8IXM3
MOM	Q969Z3
Matrix	P82932
Matrix	Q16540
MIM	Q9Y6N5
MIM	O75880
unknown	O75600
Matrix	Q6UB35
Matrix	O75521
MIM	P14927
MIM	O75947
MIM	O75964
IMS	Q4VC31
Matrix	Q9HCC0
Matrix	Q96PE7
Matrix	Q9NZB8
Matrix	P22033
MIM	Q9H1U9
MIM	Q9UQ90
MIM	P48201
MOM	Q8NBU5
Matrix	Q96HP4
Matrix	Q9H4K7
Matrix	Q6PI48
Matrix	Q4U2R6
Matrix	P11498
Matrix	Q8N0X4
MIM	Q9NP80
Matrix	O95822
unknown	Q96I23
MIM	O60830
Matrix	Q9BYC8
MIM	Q70HW3
MIM	Q9UF12
unknown	Q9NQR4
Matrix	Q6P4F2
Matrix	P23368
Matrix	P49411
MIM	Q02221
MIM	Q6PML9
MIM	Q96BW9
MIM	O14925
MIM	Q9NWS8
MOM	O95140
Matrix	Q5SXM8
IMS	Q8N4Q1
MIM	O14561
Matrix	Q08AH1
IMS	Q86WW8
MIM	Q96H96
MIM	Q86YH6
unknown	Q08426
MIM	O75489
MIM	Q9NRK6
MIM	P17540
Matrix	P82663
MIM	Q9H845
MIM	Q9P0S2
MIM	Q96ND0
Matrix	Q9NPJ3
MOM	P50416
Matrix	Q9BTZ2
IMS	Q8N945
Matrix	Q9HA77
Matrix	O75323
MIM	P17568
MIM	Q5XKP0
Matrix	Q9NS18
Matrix	Q9NP92
MIM	O43819
Matrix	Q99714
Matrix	Q96I59
Matrix	Q6P087
IMS	P51687
Matrix	Q9UL12
Matrix	P52758
MIM	P10176
unknown	P35270
MIM	P39210
unknown	Q8N4Q0
Matrix	Q9H0U6
Matrix	P30837
MIM	Q96BP2
MIM	O60220
MOM	Q9Y277
MIM	Q6NUK1
MIM	Q9Y5U8
MIM	Q9H936
MIM	Q9H0C2
MIM	Q9H1K4
Matrix	Q96Q11
Matrix	P14735
Matrix	Q9Y2Q3
Matrix	Q5ST30
Matrix	P61604
Matrix	Q6P161
Matrix	Q96DV4
Matrix	Q14197
MOM	Q9NZJ7
IMS	O43715
Matrix	Q96EY7
MIM	Q12887
MOM	Q92667
Matrix	Q9HC36
IMS	P54819
MIM	Q9BUB7
MIM	Q8NC60
MIM	Q96AQ8
MIM	Q9P0S9
MIM	O43677
Matrix	Q9NZE8
MIM	O95167
MIM	Q5T2R2
MIM	P16260
Matrix	0
Matrix	Q53FZ2
MIM	Q330K2
MIM	P25874
MIM	Q9H9B4
Matrix	Q86SX6
Matrix	Q86Y79
Matrix	P82912
Matrix	Q9NQH7
MIM	Q9P0J1
Matrix	P42126
MIM	Q9BQT8
MIM	Q8N8R3
MIM	Q8N413
Matrix	Q9NRP4
IMS	Q9Y3B1
MIM	Q9BZJ4
MIM	O43676
Matrix	Q9Y3B8
Matrix	P50440
MIM	Q9Y5J6
Matrix	Q9NP81
MIM	Q8NE62
Matrix	Q9BQC6
Matrix	Q6P1X6
Matrix	Q5JPH6
Matrix	Q9UBQ7
Matrix	Q96DP5
Matrix	Q8WV60
