20231122_BuXOSlIl6G_01	20231122_BuXOSlIl6G_02	20231122_BuXOSlIl6G_03	20231122_BuXOSlIl6G_04	20231122_BuXOSlIl6G_05	20231122_BuXOSlIl6G_06	20231122_BuXOSlIl6G_07	20231122_BuXOSlIl6G_08	20231122_BuXOSlIl6G_09	20231122_BuXOSlIl6G_10	20231122_BuXOSlIl6G_11	20231122_BuXOSlIl6G_12	20231122_BuXOSlIl6G_13	20231122_BuXOSlIl6G_14	20231122_BuXOSlIl6G_15	20231122_BuXOSlIl6G_16	20231122_BuXOSlIl6G_17	20231122_BuXOSlIl6G_18	20231122_BuXOSlIl6G_19	20231122_BuXOSlIl6G_20	20231122_BuXOSlIl6G_21	20231122_BuXOSlIl6G_22	20231122_BuXOSlIl6G_23	20231122_BuXOSlIl6G_24	20231122_BuXOSlIl6G_25	20231122_BuXOSlIl6G_26	20231122_BuXOSlIl6G_27	20231122_BuXOSlIl6G_28	20231122_BuXOSlIl6G_29	20231122_BuXOSlIl6G_30	20231122_BuXOSlIl6G_31	20231122_BuXOSlIl6G_32	20231122_BuXOSlIl6G_33	20231122_BuXOSlIl6G_34	20231122_BuXOSlIl6G_35	20231122_BuXOSlIl6G_36	20231122_BuXOSlIl6G_37	20231122_BuXOSlIl6G_38	20231122_BuXOSlIl6G_39	20231122_BuXOSlIl6G_40	20231122_BuXOSlIl6G_41	20231122_BuXOSlIl6G_42	20231122_BuXOSlIl6G_43	20231122_BuXOSlIl6G_44	20231122_BuXOSlIl6G_45	20231122_BuXOSlIl6G_46	20231122_BuXOSlIl6G_47	20231122_BuXOSlIl6G_48	20231122_BuXOSlIl6G_49	20231122_BuXOSlIl6G_50	20231122_BuXOSlIl6G_51	20231122_BuXOSlIl6G_52	20231122_BuXOSlIl6G_53	20231122_BuXOSlIl6G_54	20231122_BuXOSlIl6G_55	20231122_BuXOSlIl6G_56	20231122_BuXOSlIl6G_57	20231122_BuXOSlIl6G_58	20231122_BuXOSlIl6G_59	20231122_BuXOSlIl6G_60	Key
23.9978	23.8845	24.0257	24.1611	23.9055	23.967	24.0809	24.0484	24.2007	24.0621	23.9746	23.924	24.0683	24.1936	24.0479	24.8924	24.7454	24.9832	24.8246	24.8862	24.9331	24.9204	25.0114	25.0041	24.9692	24.9348	24.8611	24.9726	24.9257	24.9919	24.9782	24.9083	24.9939	24.9473	24.7712	25.0921	25.0863	24.9842	25.0267	25.0592	24.9598	24.9558	25.0473	25.0848	24.9081	24.9989	25.0174	24.9447	24.9573	24.7531	25.0998	25.0188	25.117	25.0539	25.0649	25.0193	24.892	24.9847	24.8846	24.9639	P13807
22.8541	23.1062	23.1478	23.0955	23.3162	23.056	23.1208	23.0038	23.1097	23.3415	22.8927	23.3116	23.2861	23.1724	23.3982	24.5575	24.5882	24.6297	24.5242	24.585	24.6997	24.7026	24.5817	24.4991	24.7018	24.4415	24.7169	24.7694	24.6413	24.6347	24.734	24.7948	24.728	24.6586	24.6235	24.8135	24.6785	24.6981	24.6547	24.5146	24.73	24.7538	24.6996	24.7451	24.6196	24.0263	24.2647	24.0315	24.2444	24.3872	24.1507	24.2495	24.0882	24.2661	24.2901	24.0812	24.3437	24.265	24.3563	24.5043	Q6IQ22
23.8843	23.9321	23.8441	24.0293	23.9925	23.9105	23.8682	23.9791	23.9129	23.8969	23.8739	23.8164	23.8035	23.9455	24.071	24.9078	24.851	24.7707	24.8559	24.8305	24.7935	24.7297	24.7458	24.8203	24.6533	24.787	24.7677	24.6353	24.7865	24.817	24.7268	24.8022	24.7047	24.7853	24.8003	24.6767	24.6638	24.6726	24.7716	24.642	24.7114	24.7709	24.7426	24.7419	24.667	24.1932	24.3071	24.1131	24.3838	24.3786	24.3411	24.2745	24.15	24.3402	24.373	24.2355	24.2529	24.2196	24.2896	24.3244	Q9P2R3
24.7352	24.6955	24.7031	24.6979	24.7449	24.7258	24.7545	24.6849	24.6386	24.7836	24.6859	24.7645	24.725	24.631	24.7373	25.2702	25.2525	25.1844	25.1689	25.1137	25.3143	25.3264	25.1915	25.2257	25.2847	25.2267	25.2422	25.1803	25.1643	25.0866	25.4416	25.4847	25.3543	25.3275	25.3547	25.5032	25.5525	25.3562	25.3815	25.4677	25.4551	25.4309	25.3753	25.3748	25.3003	24.8267	24.9411	24.8481	24.918	24.9452	24.9404	24.9599	24.8373	24.9689	25.0428	24.8744	24.9491	24.8528	24.9607	25.0322	Q9NU22
23.9843	23.9429	24.042	23.9588	23.9773	23.6107	23.6733	23.6354	23.3351	23.6178	24.3564	24.427	24.5099	24.3823	24.4526	22.6642	22.5354	22.8145	22.76	23.0228	22.1243	22.4193	22.3268	22.0081	22.7489	22.9197	22.608	23.037	23.0628	23.2747	24.8497	25.1049	25.0162	24.918	24.8346	24.5873	24.6593	24.2327	24.2068	24.5985	25.1898	25.2419	24.9864	24.882	24.951	23.4916	23.7438	23.3846	23.6269	23.7674	23.0632	23.2654	23.1678	22.9485	23.3955	23.9745	23.9194	23.8432	24.2764	24.2691	Q9NPL8
24.6416	24.5537	24.5725	24.6734	24.5487	24.614	24.3758	24.6565	24.6811	24.4444	24.6165	24.6235	24.6266	24.6267	24.5179	23.1509	23.1832	23.3434	23.3909	23.6106	22.7904	23.2208	23.1906	23.3529	23.4928	22.9502	23.0408	23.2229	23.3003	23.5318	24.7295	24.7003	24.6554	24.7391	24.7045	24.4852	24.6604	24.6551	24.8052	24.567	24.641	24.6918	24.6893	24.7257	24.6385	24.0774	24.2078	24.0713	24.3648	24.3686	24.1117	24.1373	24.0622	24.3762	24.2579	24.115	24.1646	24.0984	24.2242	24.2883	Q9Y3P9
24.1167	23.987	24.031	23.9507	23.882	24.0879	24.0316	24.1079	24.1219	24.0211	24.0869	23.9712	24.0828	23.9863	23.8773	23.4646	23.5298	23.4364	23.4127	23.3394	23.6309	23.7201	23.5044	23.6561	23.5186	23.5032	23.4858	23.4308	23.5046	23.4115	24.0906	24.2763	24.2611	24.1308	24.2219	24.2754	24.5027	24.3118	24.3556	24.3457	24.1299	24.2597	24.2547	24.223	24.1439	23.9075	23.973	24.0085	23.8807	23.9515	23.9608	24.0305	23.9046	24.0448	24.0369	23.9467	23.9931	24.0587	24.0162	23.9666	Q13439
22.7745	23.1505	22.885	23.0017	23.2142	22.6086	23.1834	22.8352	22.8605	22.9846	22.8364	23.1557	22.8108	22.9128	23.1659	23.837	23.8224	23.7556	23.7188	23.8797	23.7961	23.819	23.8033	23.8181	23.9446	23.8085	23.7845	23.7442	23.932	23.9827	24.1821	24.2054	24.1204	24.2815	24.2483	24.2142	24.2825	24.0768	24.2226	24.1489	24.2001	24.0855	23.9873	24.2005	24.1849	24.1272	24.0839	24.0757	24.1364	23.9822	24.1134	24.0765	23.895	24.187	23.9145	24.0025	23.9439	23.8505	24.2049	23.994	Q8NB49
26.5033	26.6593	26.6068	26.826	26.9265	26.7469	26.7132	26.771	26.7206	26.968	26.6686	26.9625	26.8748	26.8957	26.8433	27.6531	27.7834	27.7832	27.9263	27.7808	27.813	27.8062	27.7183	27.613	27.6388	27.9003	27.8142	27.909	27.6559	27.6082	27.7291	27.6337	27.7157	27.5784	27.6743	27.7941	27.6152	27.7924	27.6905	27.5622	27.7594	27.7363	27.8524	27.7868	27.782	27.708	27.643	27.5921	27.8639	27.7824	27.6786	27.5527	27.8318	27.7217	27.5897	27.6506	27.8302	27.852	27.6513	27.7978	P15170
26.4045	26.8253	26.6184	26.6962	26.9597	26.5095	26.7455	26.8691	26.7699	26.8386	26.4515	26.7512	26.6621	26.782	27.0664	28.0499	27.986	28.0273	28.0868	28.0312	27.9828	27.8799	27.9334	28.0399	27.8199	28.0835	27.9513	28.2339	27.988	28.0006	27.8982	27.5797	27.7523	27.6553	27.8902	27.799	27.725	27.9326	27.8632	27.6767	27.7984	27.5895	27.714	27.7638	27.6992	27.7319	27.6837	27.5946	27.7683	27.8851	27.6996	27.7023	27.5758	27.8501	27.6421	27.7385	27.6747	27.6153	27.683	27.7562	Q15785
