Key	20221129_DuMi_0214_VSTFFlpDMyDG_001_WT_9389	20221129_DuMi_0214_VSTFFlpDMyDG_002_WT_9391	20221129_DuMi_0214_VSTFFlpDMyDG_003_WT_9392	20221129_DuMi_0214_VSTFFlpDMyDG_004_WT_9395	20221129_DuMi_0214_VSTFFlpDMyDG_005_WT_9329	20221129_DuMi_0214_VSTFFlpDMyDG_006_WT_9331	20221129_DuMi_0214_VSTFFlpDMyDG_007_KO_9394	20221129_DuMi_0214_VSTFFlpDMyDG_008_KO_9328	20221129_DuMi_0214_VSTFFlpDMyDG_009_KO_9330	20221129_DuMi_0214_VSTFFlpDMyDG_010_KO_9359	20221129_DuMi_0214_VSTFFlpDMyDG_011_KO_9360	20221129_DuMi_0214_VSTFFlpDMyDG_012_KO_9358
A0JP43	22.4169954	21.68431716	21.20657562	21.62310273	22.3457041	22.27070595	21.31008019	21.20060172	22.20060172	22.0019579	22.17340875	21.8307442
A1L3P4	24.01051991	24.17949608	23.99334477	24.11743511	24.20955332	24.20955332	23.97596269	24.20209751	24.19460298	24.0442687	24.06907209	24.10149357
A2A432	24.03590523	24.11743511	24.14879929	24.14879929	24.14879929	24.1870693	24.21697079	24.25349666	24.24626509	24.19460298	24.1870693	24.27497639
A2A472	18.34905657	18.75015412	18.72458047	18.01164767	19.14340564	18.73585347	19.2617116		19.01822192	18.62644341	18.88245797	19.1175594
A2A484	21.92795732	22.07887527	22.17949608	22.04259988	22.07234723	22.23022688	22.11743511	22.05258397	22.22140303	22.02580464	22.06907209	21.76749264
A2A4P0	20.98119934	21.37517522	21.24190869	20.77152816	21.44758372	21.1580771	21.34840831	21.42726373	21.34299482	21.52611712	21.63644053	21.28771238
A2A5R2	24.14879929	24.10149357	23.94949048	24.10149357	24.01051991	23.97596269	24.05258397	23.95836863	23.91342122	23.95836863	23.87642702	23.96719248
A2A654	21.01563283	21.21844972	21.51171405	21.10789134	21.06249944	21.35917474	21.31561838	21.34840831	21.38574446	21.19460298	21.14569337	21.23022688
A2A690	23.5869204	23.40405634	23.4169954	23.50445824	23.56383678	23.63200829	23.46762147	23.56383678	23.46762147	23.42981944	23.39100019	23.50445824
A2A699	24.0442687	23.83845916	24.0442687	24.0442687	24.15653493	24.20955332	24.06085159	24.31008019	24.296141	24.12534031	24.11743511	24.13320243
A2A6A1	21.24771431	21.11426087	21.54510022	21.28771238	21.18253014	21.37517522	21.42726373	21.19460298	21.27639707	21.38046952	21.37517522	21.31008019
A2A6Q5	20.96719248	21.36986142	21.17035543	21.33756093	21.14569337	21.4169954	20.9097642	21.51653107	21.24190869	21.42726373	21.36452798	21.38574446
A2A6T1	21.28206582	21.23607961	21.12060239	21.00881157	20.71397713	20.53563989	20.67141667	21.25349666	21.0950673	20.68859182	20.55449892	20.28771238
A2A716	22.07561494	22.23607961	22.104696	21.97421291	22.06249944	21.78755827	22.17035543	21.98467991	22.10789134	22.35110746	22.16115649	22.18857919
A2A791	22.91159387	23.12218343	23.13006272	22.86514121	22.8499548	23.14102193	22.90242222	23.32388599	23.51653107	23.00881157	22.90242222	22.94055735
A2A7S8	21.13320243	20.1580771	20.5068809	21.022422	20.49716575	20.51653107	19.68673304	20.0019579	20.53563989	19.77954945	20.747144	19.97421291
A2A891	20.2649923	20.47753694	20.72234061	20.90242222	20.70556489	20.59149313	20.96013772	20.4374595	20.04259988	19.79436034	19.41231348	19.31110525
A2A8L1	22.33756093	22.21844972	22.11743511	22.3831094	22.03590523	22.4349173	22.35917474	22.37517522	22.77756034	22.34028043	22.22435032	22.38837472
A2A8L5	23.42981944	23.35110746	23.35110746	23.33756093	23.42981944	23.54037781	23.42981944	23.54037781	23.62086773	23.50445824	23.48000519	23.57542476
A2A8R0	22.17949608	22.13006272	22.12376273	22.0558967	22.18857919	22.27355432	22.23899709	22.20359176	22.14569337	22.14258076	22.07887527	22.07234723
A2A8U2	23.11267112	23.05092475	23.39100019	23.16115649	23.0207277	23.20508446	23.42981944	23.31008019	23.19760546	23.24916207	23.48000519	23.33756093
A2A8Z1	23.54037781	23.66492291	23.75938759	23.57542476	23.87642702	23.86702832	23.84804521	23.85756799	23.87642702	23.66492291	23.66492291	23.67572966
A2A9C3	21.63200829	21.92795732	21.55449892	21.69285384	21.54510022	21.924337	21.89504269	21.83460684	21.90609788	21.72234061	21.68431716	21.84230123
A2A9Q0	21.40145455	21.72234061	21.73892349	21.5731146	21.7430396	21.29893963	21.52611712	21.54980722	21.64526438	21.21252488	21.65403459	21.0950673
A2AAE1	22.3457041	22.21549034	22.08212825	22.27923423	22.20060172	22.22140303	22.10149357	22.17035543	22.21252488	22.04926361	22.104696	22.13006272
A2AAY5	22.38046952	22.52372657	22.64085921	22.51653107	23.08375199	22.95482392	22.4092459	23.09022874	23.02749299	22.64306348	22.52850371	22.75123675
A2AB59	20.32113538	20.61862926	20.84230123	20.60059533	20.36452798	20.18253014	19.76514363	18.72462709	20.19460298	19.94592386	20.35380157	20.76344581
A2ABG4	21.06907209	21.01563283	21.52133206	21.04259988	21.17035543	21.45261931	20.66275181	20.9530483	21.45261931	21.03590523	21.1580771	20.64526438
A2ABV5	21.10149357	21.36986142	21.25349666	21.25925593	21.47753694	21.48738472	21.25349666	21.70134031	21.28206582	21.2649923	21.1580771	20.86514121
A2ACJ2	21.39623684	22.04926361	20.99507151	21.52611712	22.18857919	22.07561494	20.68859182	21.85376642	21.72650423	21.71816493	21.62310273	21.03590523
A2ACQ1	22.73479561	23.78954956	22.21844972	23.24336229	23.40405634	24.06907209	21.93517081	23.40405634	23.4169954	23.48000519	23.71816493	24.56383678
A2ADA5	20.924337	20.35380157	21.28206582	21.11426087	21.44758372	21.11426087	20.77956548	20.73892349	20.917069	21.28771238	20.78755827	21.01563283
A2ADY9	23.85756799	23.76951181	23.5869204	23.70767256	23.63200829	23.72858155	23.59832516	23.60964047	23.64306348	23.46762147	23.63200829	23.64306348
A2AF28	19.38746204	19.61604623	19.58227064	19.3636899	19.47881109	19.24652722	19.26968373	19.43443684	19.02483125	19.18188503	19.70605583	
A2AF31	21.75938759	21.23607961	21.57773123	21.62310273	20.97421291	21.20657562	21.64085921	21.81127434	21.97421291	21.73065588	21.8499548	21.96366941
A2AF47	22.78356741	22.75938759	22.72234061	22.82104211	23.00023938	23.04593559	23.04259988	22.95482392	23.15189852	22.95127048	23.20806523	23.11267112
A2AFR3	22.44253049	22.27070595	22.15499112	22.44758372	22.34028043	22.296141	22.08212825	22.07561494	22.0918434	22.05920185	21.89133872	22.14258076
A2AFS3	21.31008019	20.73892349	20.39623684	20.90242222	20.88762522	21.13320243	20.1580771	20.45763738	20.99507151	18.85720955	20.08212825	20.54510022
A2AG50	24.42342167	24.52252981	24.49228352	24.45513053	24.63200829	24.46138952	24.71816493	24.56383678	24.49228352	24.62644876	24.72858155	24.63754647
