20231123_rfP4nAAmgA_01	20231123_rfP4nAAmgA_02	20231123_rfP4nAAmgA_03	20231123_rfP4nAAmgA_04	20231123_rfP4nAAmgA_05	20231123_rfP4nAAmgA_06	20231123_rfP4nAAmgA_07	20231123_rfP4nAAmgA_08	20231123_rfP4nAAmgA_09	20231123_rfP4nAAmgA_10	20231123_rfP4nAAmgA_11	20231123_rfP4nAAmgA_12	Key
23.9978	23.8845	24.0257	24.1611	23.9055	23.967	24.0809	24.0484	24.2007	24.0621	23.9746	23.924	Q6IQ22
22.8541	23.1062	23.1478	23.0955	23.3162	23.056	23.1208	23.0038	23.1097	23.3415	22.8927	23.3116	Q9P2R3
23.8843	23.9321	23.8441	24.0293	23.9925	23.9105	23.8682	23.9791	23.9129	23.8969	23.8739	23.8164	Q9NU22
24.7352	24.6955	24.7031	24.6979	24.7449	24.7258	24.7545	24.6849	24.6386	24.7836	24.6859	24.7645	Q9NPL8
23.9843	23.9429	24.042	23.9588	23.9773	23.6107	23.6733	23.6354	23.3351	23.6178	24.3564	24.427	Q9Y3P9
24.6416	24.5537	24.5725	24.6734	24.5487	24.614	24.3758	24.6565	24.6811	24.4444	24.6165	24.6235	Q13439
24.1167	23.987	24.031	23.9507	23.882	24.0879	24.0316	24.1079	24.1219	24.0211	24.0869	23.9712	Q8NB49
22.7745	23.1505	22.885	23.0017	23.2142	22.6086	23.1834	22.8352	22.8605	22.9846	22.8364	23.1557	P15170
26.5033	26.6593	26.6068	26.826	26.9265	26.7469	26.7132	26.771	26.7206	26.968	26.6686	26.9625	Q15785
26.4045	26.8253	26.6184	26.6962	26.9597	26.5095	26.7455	26.8691	26.7699	26.8386	26.4515	26.7512	Q9Z0V8
26.1717	26.2808	26.2112	26.3227	26.3951	26.3022	26.445	26.3052	26.4434	26.4704	26.2336	26.4435	Q78YY6
