id,parent_id,tag,text,priority,allow_as_filter,allow_for_dataset,allow_for_genotype,allow_for_performance,allow_for_sample,allow_trait_values,requirement_for_dataset_state
,,att_acquisition,Acquisition,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
,,att_analysis_mode,Software Analysis Mode,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
,,att_cell,Cell,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
,,att_cellline,Cellline,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
,,att_compound,Chemical Compound or Treatment,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
,,att_dataset,Dataset Type or Search Mode,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
,,att_digestion_method,Digestion Method,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
,,att_experiment,Experiment Type,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
,,att_lc_system,LC System,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
,,att_model,Experiment Model,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
,,att_ms,Mass Spectrometer Type,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
,,att_organ,Organ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
,,att_organism,Organism,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
,,att_organsystem,Organ System,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
,,att_quantification,Quantification Method,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
,,att_signalling,Signalling Pathway,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
,,att_software,Software,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
,,att_tissue,Tissue,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
,,att_disease,Disease,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
,,att_spatial_fraction,Spatial Fraction,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
,,att_subcellular_compartment,Subcelullar Compartment,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
