tag,parent_tag,text,priority,group_tag,required_for_state,allow_as_filter,allow_for_dataset,allow_for_sample,allow_for_genotype,allow_for_qc,allow_values,values_are_numeric,values_are_feature_labels,values_are_genotype_labels
att_time,,Time Point,500,numeric_units,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
att_duration,,Duration,500,numeric_units,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
att_length,,Length,500,numeric_units,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
att_mass,,Mass,500,numeric_units,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
att_current,,Current,500,numeric_units,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
att_temperature,,Temperature,500,numeric_units,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
att_amount,,Amount,500,numeric_units,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
att_volume,,Volume,500,numeric_units,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
att_concentration,,Concentration,500,numeric_units,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
att_light,,Light,1000,units,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
att_energy,,Energy,1000,numeric_units,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
att_colour,,Colour,1000,units,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
att_voltage,,Voltage,500,numeric_units,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
att_power,,Power,500,numeric_units,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
att_resistance,,Resistance,500,numeric_units,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
att_current,,Current,500,numeric_units,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
att_engineering,,Gene engineering,100,sample_description,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
att_organism,,Organism,100,sample_description,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
att_genotype,,Genotype,100,sample_description,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
