tag	itemid	text	company	description	price	link	product_id
sparepart.AUR3-60075C18	AUR3-60075C18	Aurora C18 60 cm 76 um	IonOpticks	"Aurora Frontier 60 cm x 75 _m C18 UHPLC packed emitter column with nanoZero technology, compatible with Nanospray Flex source"	1784	https://ionopticks.com/product/aurora-frontier-60-cm-nanoflow-uhplc-column/	AUR3-60075C18-5PK
sparepart.co	co	Column Out	Thermo Fisher Scienitfic	Capillary for Thermo Fisher HPLCs 20 um. Nano Vipers at both ends. 	384	http://www.thermo-katalog-dreieich.de/epages/17791480.sf/de_DE/?ObjectID=181237&ViewAction=FacetedSearchProducts&SearchString=LC560	LC560
sparepart.wi	wi	Waste IN	Thermo Fisher Scienitfic	Capillary for Thermo Fisher HPLCs 75 um. Nano Vipers at both ends.	459	http://www.thermo-katalog-dreieich.de/epages/17791480.sf/de_DE/?ObjectID=181237&ViewAction=FacetedSearchProducts&SearchString=LC562	LC562
sparepart.tc	tc	Transfer Capillary	Thermo Fisher Scienitfic	Transfer Capillary Exchange	2660	http://www.thermo-katalog-dreieich.de/epages/17791480.sf/de_DE/?ObjectPath=/Shops/17791480/Products/80500-20045	80500-20045
sparepart.hppump	hppump	High pressure LC pump 	Thermo Fisher Scienitfic	"High pressure pumps (>1000 bar)such as  A or B on a nLC1200 system. Pump 18000 psi, EASY-nLC 1200 for serial nos. P-0100000 and above"	6600	http://www.thermo-katalog-dreieich.de/epages/17791480.sf/de_DE/?ObjectID=181237&ViewAction=FacetedSearchProducts&SearchString=LC591	LC591
sparepart.lppump	lppump	Low pressure LC pump	Thermo Fisher Scienitfic	Low pressure ( < 500 bar) such as the pump S on a nLC1200 system	0	http://www.thermo-katalog-dreieich.de	unknown
sparepart.quad	quad	Quadrupole	Thermo Fisher Scienitfic	New quadrupole.	0	http://www.thermo-katalog-dreieich.de	unknown
sparepart.orbitrap	orbitrap	Oribtrap 	Thermo Fisher Scienitfic	New or refurbished orbitrap.	0	http://www.thermo-katalog-dreieich.de	unknown
sparepart.FlexSource	FlexSource	Ion Source	Thermo Fisher Scienitfic	nano Flex Source 	0	http://www.thermo-katalog-dreieich.de	unknown
sparepart.mixingtee	mixingtee	A/B mixing tee & Venting Tee	Thermo Fisher Scienitfic	"Mixing tee to either connect line A and B, or column out and waste in with the column."	274	http://www.thermo-katalog-dreieich.de/A/B-MIXING-TEE-VENTING-TEE/en	SC901
sparepart.pressure_sensor	pressure_sensor	Pressure sensor	Thermo Fisher Scienitfic	"Pressure sensor 18kpsi compatible with UHPLC pump LC591 with white connector, Requires a service engineer for installation, 1 pc."	6600	http://www.thermo-katalog-dreieich.de/epages/17791480.sf/de_DE/?ObjectID=181237&ViewAction=FacetedSearchProducts&SearchString=LC592	LC592
sparepart.piston_seal	piston_seal	Pump Piston Seal	Thermo Fisher Scienitfic	Sealing for the piston in a high pressure (LC591) pump.	260	http://www.thermo-katalog-dreieich.de/epages/17791480.sf/de_DE/?ObjectPath=/Shops/17791480/Products/LC510	LC510
sparepart.720nanoviper	720nanoviper	nanoViper 7cm x 20 _m	Thermo Fisher Scienitfic	Connecting Aurora columns to a mixing tee. Smallest cap available.	224	https://www.thermofisher.com/order/catalog/product/de/de/6041.5120	6041.512
sparepart.hesineedle	hesineedle	HESI insert needle 50 um	Thermo Fisher Scienitfic	"NG, HESI LOFLO Needle Insert 50umID35G"	447	http://www.thermo-katalog-dreieich.de/epages/17791480.sf/de_DE/?ObjectPath=/Shops/17791480/Products/OPTON-30139	OPTON-30139
sparepart.autosample needle	autosample needle	Autosampler needle	Thermo Fisher Scienitfic	Autosampler needle assembly EASY-nLC series systems ASC	548	http://www.thermo-katalog-dreieich.de/Autosampler-needle-ASC-model/en	LC302
