MitoCarta3.0_List	MitoCarta3.0_Evidence	MitoCarta3.0_SubMitoLocalization	MitoCarta3.0_MitoPathways	Uniprot	HPA_Main_Location_2020 (Reliability)
MitoCarta3.0	"literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	MIM	OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits	P08574	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	MIM	OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits	P21912	Mitochondria (Supported)
MitoCarta3.0	"literature, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++"	MIM	Metabolism > Metals and cofactors > Coenzyme Q metabolism	Q99807	Plasma membrane (Approved)
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	MIM	OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | OXPHOS > OXPHOS subunits	P31040	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	MIM	"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits"	P31930	Mitochondria (Supported)
MitoCarta3.0	"APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	MIM	Metabolism > Metals and cofactors > Coenzyme Q metabolism	Q5HYK3	Nucleoli (Uncertain)
MitoCarta3.0	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	Matrix	Metabolism > Carbohydrate metabolism > Pyruvate metabolism	P08559	Mitochondria (Supported)
MitoCarta3.0	"APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++"	MIM	Metabolism > Metals and cofactors > Coenzyme Q metabolism	O75208	
MitoCarta3.0	"literature, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	Matrix	Mitochondrial central dogma > mtRNA metabolism > Transcription | Mitochondrial central dogma > Translation > Mitochondrial ribosome	P52815	Mitochondria (Supported)
MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+"	MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	P30049	
MitoCarta3.0	"literature, APEX_IMS, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++"	MIM	OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits	P20674	
