Entry	Entry Name	Mass	Length	Gene Names	Organism	Organism (ID)	Protein names
A0A075F5C6	A0A075F5C6_MOUSE	57879	531	Hsf1	Mus musculus (Mouse)	10090	Heat shock factor 1 (Heat shock transcription factor 1 gammabeta isoform)
A0A087WPF7	AUTS2_MOUSE	138920	1261	Auts2 Kiaa0442	Mus musculus (Mouse)	10090	Autism susceptibility gene 2 protein homolog
A0A087WPU4	A0A087WPU4_MOUSE	17718	159	Fat1	Mus musculus (Mouse)	10090	FAT atypical cadherin 1
A0A087WRK1	A0A087WRK1_MOUSE	25620	222	Gm20905 Gm20814 Gm20835 Gm20850 Gm20855 Gm20869 Gm20870 Gm20883 Gm20894 Gm20896 Gm20897 Gm20903 Gm20906 Gm20908 Gm20916 Gm20920 Gm20929 Gm20931 Gm21317 Gm21366 Gm21409 Gm21477 Sly	Mus musculus (Mouse)	10090	Predicted gene, 20814 (Predicted gene, 20855) (Predicted gene, 20905) (Predicted gene, 20906) (Predicted gene, 20908) (Predicted gene, 20920) (Predicted gene, 20931) (Predicted gene, 21317) (Predicted gene, 21366) (Sycp3 like Y-linked)
A0A087WRT4	A0A087WRT4_MOUSE	507531	4602	Fat1	Mus musculus (Mouse)	10090	FAT atypical cadherin 1
A0A087WSP5	A0A087WSP5_MOUSE	88032	755	Stat1	Mus musculus (Mouse)	10090	Signal transducer and activator of transcription
A0A088MLT8	IQIP1_MOUSE	61917	559	Iqcj-Schip1 Iqschfp Schip1	Mus musculus (Mouse)	10090	IQCJ-SCHIP1 readthrough transcript protein
A0A0A6YXJ2	A0A0A6YXJ2_MOUSE	69349	626	Iqgap3	Mus musculus (Mouse)	10090	IQ motif containing GTPase activating protein 3
A0A0A6YXU9	A0A0A6YXU9_MOUSE	50462	442	Tgfb2	Mus musculus (Mouse)	10090	Transforming growth factor beta
A0A0B4J1F4	ARRD4_MOUSE	44970	415	Arrdc4	Mus musculus (Mouse)	10090	Arrestin domain-containing protein 4
A0A0B4J1G0	FCG3A_MOUSE	28398	249	Fcgr4 Fcgr3a	Mus musculus (Mouse)	10090	Low affinity immunoglobulin gamma Fc region receptor III-A (IgG Fc receptor III-A) (CD16-2) (FcgammaRIV) (CD antigen CD16a)
A0A0B4J1N3	GP15L_MOUSE	8899	78	Gpr15lg Gpr15l	Mus musculus (Mouse)	10090	Protein GPR15LG (Protein GPR15 ligand) (Protein GPR15L)
A0A0G2JDV3	GBP6_MOUSE	70443	611	Gbp6 Mpa2l	Mus musculus (Mouse)	10090	Guanylate-binding protein 6 (EC 3.6.5.-) (GTP-binding protein 6) (GBP-6) (Guanine nucleotide-binding protein 6) (Macrophage activation 2 like protein)
A0A0G2JGI9	A0A0G2JGI9_MOUSE	145135	1279	Agl	Mus musculus (Mouse)	10090	Glycogen debranching enzyme (EC 2.4.1.25) (EC 3.2.1.33) (Glycogen debrancher)
A0A0G2JGS4	A0A0G2JGS4_MOUSE	60003	533	Camk2d	Mus musculus (Mouse)	10090	calcium/calmodulin-dependent protein kinase (EC 2.7.11.17)
A0A0R4IZW4	A0A0R4IZW4_MOUSE	27368	241	Pdgfb	Mus musculus (Mouse)	10090	Platelet derived growth factor, B polypeptide
A0A0R4IZW5	A0A0R4IZW5_MOUSE	98284	884	Cdh1	Mus musculus (Mouse)	10090	Cadherin 1
A0A0R4J008	A0A0R4J008_MOUSE	55330	488	Hdac2	Mus musculus (Mouse)	10090	Histone deacetylase 2 (HD2) (EC 3.5.1.98)
